site,treatment_code,tree_id,species_name,harvest_year,wood_wet_weight_kg
Lakamane,1,16,Combretum glutinosum,2011,0.178
Lakamane,1,19,Combretum glutinosum,2011,3.66
Lakamane,2,4,Combretum glutinosum,2011,0.49
Lakamane,2,5,Combretum glutinosum,2011,0.317
Lakamane,2,6,Combretum glutinosum,2011,0.94
Lakamane,2,7,Combretum glutinosum,2011,2.02
Lakamane,2,9,Combretum glutinosum,2011,0.159
Lakamane,2,12,Combretum glutinosum,2011,0.351
Lakamane,2,14,Combretum glutinosum,2011,0.186
Lakamane,2,18,Combretum glutinosum,2011,0.136
Lakamane,2,19,Combretum glutinosum,2011,0.28
Lakamane,2,20,Combretum glutinosum,2011,0.221
Lakamane,3,2,Combretum glutinosum,2011,0.76
Lakamane,3,5,Combretum glutinosum,2011,0.72
Lakamane,3,6,Combretum glutinosum,2011,0.45
Lakamane,3,7,Combretum glutinosum,2011,2.19
Lakamane,3,8,Combretum glutinosum,2011,0.335
Lakamane,3,11,Combretum glutinosum,2011,0.69
Lakamane,3,12,Combretum glutinosum,2011,0.481
Lakamane,3,13,Combretum glutinosum,2011,1.64
Lakamane,3,17,Combretum glutinosum,2011,0.61
Lakamane,3,18,Combretum glutinosum,2011,0.177
Lakamane,4,2,Combretum glutinosum,2011,0.268
Lakamane,4,4,Combretum glutinosum,2011,1.18
Lakamane,4,7,Combretum glutinosum,2011,0.21
Lakamane,4,8,Combretum glutinosum,2011,4.48
Lakamane,4,10,Combretum glutinosum,2011,0.86
Lakamane,4,12,Combretum glutinosum,2011,0.69
Lakamane,4,13,Combretum glutinosum,2011,0.183
Lakamane,4,16,Combretum glutinosum,2011,2.05
Tiendega,1,3,Detarium microcarpum,2013,2
Tiendega,1,5,Detarium microcarpum,2013,0.179
Tiendega,1,7,Detarium microcarpum,2013,0.239
Tiendega,1,8,Detarium microcarpum,2013,7
Tiendega,1,10,Detarium microcarpum,2013,4.6
Tiendega,1,12,Detarium microcarpum,2013,0.5
Tiendega,1,13,Detarium microcarpum,2013,4
Tiendega,1,15,Detarium microcarpum,2013,5
Tiendega,1,16,Detarium microcarpum,2013,2
Tiendega,1,20,Detarium microcarpum,2013,1.4
Tiendega,2,1,Detarium microcarpum,2013,0.5
Tiendega,2,5,Detarium microcarpum,2013,
Tiendega,2,7,Detarium microcarpum,2013,1.45
Tiendega,2,9,Detarium microcarpum,2013,2.5
Tiendega,2,11,Detarium microcarpum,2013,3.9
Tiendega,2,12,Detarium microcarpum,2013,1.5
Tiendega,2,15,Detarium microcarpum,2013,0.5
Tiendega,2,16,Detarium microcarpum,2013,1
Tiendega,2,18,Detarium microcarpum,2013,1.34
Tiendega,2,20,Detarium microcarpum,2013,0.628
Tiendega,3,2,Detarium microcarpum,2013,3.1
Tiendega,3,5,Detarium microcarpum,2013,2.6
Tiendega,3,6,Detarium microcarpum,2013,
Tiendega,3,9,Detarium microcarpum,2013,1
Tiendega,3,10,Detarium microcarpum,2013,0.5
Tiendega,3,11,Detarium microcarpum,2013,2.5
Tiendega,3,13,Detarium microcarpum,2013,0.074
Tiendega,3,16,Detarium microcarpum,2013,0.141
Tiendega,3,17,Detarium microcarpum,2013,1.6
Tiendega,3,19,Detarium microcarpum,2013,0.198
Tiendega,4,1,Detarium microcarpum,2013,0.276
Tiendega,4,2,Detarium microcarpum,2013,4.7
Tiendega,4,4,Detarium microcarpum,2013,2.887
Tiendega,4,6,Detarium microcarpum,2013,1.146
Tiendega,4,7,Detarium microcarpum,2013,3.88
Tiendega,4,11,Detarium microcarpum,2013,3.6
Tiendega,4,15,Detarium microcarpum,2013,13
Tiendega,4,17,Detarium microcarpum,2013,0.181
Tiendega,4,18,Detarium microcarpum,2013,2.6
Tiendega,4,19,Detarium microcarpum,2013,0.301
Lakamane,1,4,Combretum glutinosum,2013,1
Lakamane,1,5,Combretum glutinosum,2013,3.25
Lakamane,1,7,Combretum glutinosum,2013,0.87
Lakamane,1,8,Combretum glutinosum,2013,0.5
Lakamane,1,9,Combretum glutinosum,2013,
Lakamane,1,11,Combretum glutinosum,2013,1.5
Lakamane,1,13,Combretum glutinosum,2013,18.95
Lakamane,1,17,Combretum glutinosum,2013,2
Lakamane,1,18,Combretum glutinosum,2013,21.75
Lakamane,1,20,Combretum glutinosum,2013,16.95
Lakamane,2,1,Combretum glutinosum,2013,3.1
Lakamane,2,2,Combretum glutinosum,2013,1
Lakamane,2,3,Combretum glutinosum,2013,3.25
Lakamane,2,8,Combretum glutinosum,2013,0.75
Lakamane,2,10,Combretum glutinosum,2013,9.75
