"","Site","Spp","Site_code","Species","Tree","Tree_ID","Branch","Branch_ID","Diameter","Length","Wood_Wet_wt","Wood_ratio","wood_dry_wt","Leaf_Wet_wt","Leaf_ratio","Leaf_dry_wt","Aggregated_Wood_Wt","Aggregated_Leaf_Wt","Total_Mass"
"7","Tiendega","Detarium microcarpum",1,1,1,"FH1",7,"MS",10.3,511.3,17250,0.527208188,9094.341238,1567,0.451558036,707.5914424,12436.84115,2206.764122,14643.60527
"19","Tiendega","Detarium microcarpum",1,1,2,"FH11",12,"MS",13.1,760.6,37250,0.527208188,19638.50499,361,0.451558036,163.012451,31985.72075,2829.011096,34814.73185
"27","Tiendega","Detarium microcarpum",1,1,3,"fh5",8,"MS",10,482.7,13500,0.527208188,7117.310534,983,0.451558036,443.8815494,12463.20156,2167.930131,14631.13169
"35","Tiendega","Detarium microcarpum",1,1,4,"fh2",16,"MS",13.2,596.2,22000,0.527208188,11598.58013,961,0.451558036,433.9472726,19430.25776,3262.055252,22692.31301
"38","Tiendega","Detarium microcarpum",1,1,5,"Fh20",3,"MS",8.4,641.6,15250,0.527208188,8039.924863,1486,0.451558036,671.0152415,8825.465063,1064.773849,9890.238912
"61","Tiendega","Detarium microcarpum",1,1,6,"fH7",23,"MS",14.9,640.5,44750,0.527208188,23592.5664,1002,0.451558036,452.4611521,55752.26585,6551.655544,62303.9214
"65","Tiendega","Detarium microcarpum",1,1,7,"fH10",4,"MS",6.4,359.4,4175,0.527208188,2201.094184,516,0.451558036,233.0039466,3136.888717,704.8820942,3841.770811
"83","Tiendega","Detarium microcarpum",1,1,8,"FH10",18,"MS",18.4,726.1,54750,0.527208188,28864.64828,813,0.451558036,367.1166833,60320.5248,12217.80578,72538.33058
"84","Tiendega","Detarium microcarpum",1,1,9,"FH7",1,"MS",4.1,229.8,1650,0.527208188,869.8935098,527,0.451558036,237.971085,869.8935098,237.971085,1107.864595
"113","Tiendega","Detarium microcarpum",1,1,10,"fh15",29,"MS",15.6,638.4,45750,0.527208188,24119.77459,708,0.451558036,319.7030895,65249.92135,10870.3566,76120.27796
"157","Lakamane","Combretum glutinosum",3,3,1,"fH17",9,"MS",9.1,470.4,9750,0.56424229,5501.362331,749,0.423059277,316.8713985,10452.02419,1688.006515,12140.0307
"160","Lakamane","Combretum glutinosum",3,3,2,"fH15_MS2",3,"MS",6.4,387.3,6000,0.56424229,3385.453742,1269,0.423059277,536.8622225,4045.617222,818.619701,4864.236923
"168","Lakamane","Combretum glutinosum",3,3,2,"fH15_MS1",11,"MS",9.8,413.9,12250,0.56424229,6911.968057,1036,0.423059277,438.289411,16377.13248,3178.444348,19555.57683
"170","Lakamane","Combretum glutinosum",3,3,2,"fH15_MS3",13,"MS",3.6,183.5,875,0.56424229,493.712004,112,0.423059277,47.38263902,770.1907263,79.95820335,850.1489297
"178","Lakamane","Combretum glutinosum",3,3,3,"FH13_MS2",8,"MS",9.3,540.2,24000,0.56424229,13541.81497,1265,0.423059277,535.1699854,21824.89179,1784.46403,23609.35582
"187","Lakamane","Combretum glutinosum",3,3,3,"FH13_MS1",17,"MS",10.9,552.4,25500,0.56424229,14388.1784,957,0.423059277,404.8677281,24502.22146,1858.922463,26361.14392
"193","Lakamane","Combretum glutinosum",3,3,3,"FH13_MS3",23,"MS",8.2,454.8,15000,0.56424229,8463.634355,1489,0.423059277,629.9352635,10415.91268,1143.106166,11559.01885
"201","Lakamane","Combretum glutinosum",3,3,4,"fh1",8,"MS",10.1,146.2,14250,0.56424229,8040.452637,1484,0.423059277,627.8199671,15259.93274,2791.768169,18051.70091
"204","Lakamane","Combretum glutinosum",3,3,5,"fh7",3,"MS",5.7,298.7,5000,0.56424229,2821.211452,696,0.423059277,294.4492568,3501.123412,530.5163334,4031.639745
"217","Lakamane","Combretum glutinosum",3,3,6,"fh12",13,"MS",8.1,390.7,12500,0.56424229,7053.028629,1113,0.423059277,470.8649753,22939.27031,3384.051157,26323.32147
"219","Lakamane","Combretum glutinosum",3,3,7,"Fh11",15,"MS",3.9,169.5,890,0.56424229,502.1756384,268,0.423059277,113.3798862,863.2907042,229.2981281,1092.588832
"221","Lakamane","Combretum glutinosum",3,3,8,"Fh6_MS2",2,"MS",5.9,377.8,5500,0.56424229,3103.332597,812,0.423059277,343.5241329,3441.877971,427.2898698,3869.167841
"223","Lakamane","Combretum glutinosum",3,3,8,"Fh6_MS1",4,"MS",7.2,367.2,8100,0.56424229,4570.362552,1061,0.423059277,448.8658929,5162.816957,778.0060104,5940.822967
"237","Lakamane","Combretum glutinosum",3,3,9,"fH13_MS1",13,"MS",10.2,299.5,8250,0.56424229,4654.998895,274,0.423059277,115.9182419,14359.96629,2949.569279,17309.53557
"244","Lakamane","Combretum glutinosum",3,3,9,"fH13_MS2",20,"MS",7.7,369.8,9250,0.56424229,5219.241186,1203,0.423059277,508.9403102,8393.104069,1483.668884,9876.772953
"247","Lakamane","Combretum glutinosum",3,3,9,"fH13_MS3",23,"MS",4.4,247.8,1475,0.56424229,832.2573782,526,0.423059277,222.5291797,2293.64491,479.3261608,2772.971071
"249","Lakamane","Combretum glutinosum",3,3,9,"fH13_MS4",25,"MS",3.6,239.2,1390,0.56424229,784.2967836,68,0.423059277,28.76803084,959.2118936,41.88286842,1001.094762
"286","Lakamane","Combretum glutinosum",3,3,10,"fh9",37,"MS",16.7,593.4,53000,0.56424229,29904.84139,1015,0.423059277,429.4051662,101157.3578,17224.85846,118382.2163
