site,year,species_name,treatment_code,tree_id,wet_wood_weight_g,dry_wood_weight_g
Tiendaga,2013,Detarium microcarpum,3,13,13,6
Tiendaga,2013,Detarium microcarpum,3,16,12,5
Tiendaga,2013,Detarium microcarpum,3,17,80,36
Tiendaga,2013,Detarium microcarpum,3,19,13,5
Tiendaga,2013,Detarium microcarpum,4,1,12,5
Tiendaga,2013,Detarium microcarpum,4,2,68,32
Tiendaga,2013,Detarium microcarpum,4,4,75,37
Tiendaga,2013,Detarium microcarpum,4,6,24,10
Tiendaga,2013,Detarium microcarpum,4,7,42,20
Tiendaga,2013,Detarium microcarpum,4,11,84,41
Tiendaga,2013,Detarium microcarpum,4,15,45,18
Tiendaga,2013,Detarium microcarpum,4,17,11,5
Tiendaga,2013,Detarium microcarpum,4,18,60,27
Tiendaga,2013,Detarium microcarpum,4,19,18,6
Lakamane,2011,Combretum glutinosum,1,1,29,15.79
Lakamane,2011,Combretum glutinosum,1,2,46,22.92
Lakamane,2011,Combretum glutinosum,1,3,23,13.85
Lakamane,2011,Combretum glutinosum,1,6,25,13.83
Lakamane,2011,Combretum glutinosum,1,10,9,5.18
Lakamane,2011,Combretum glutinosum,1,12,32,16.74
Lakamane,2011,Combretum glutinosum,1,14,47,20.98
Lakamane,2011,Combretum glutinosum,1,15,23,12.1
Lakamane,2011,Combretum glutinosum,1,16,8,3.51
Lakamane,2011,Combretum glutinosum,1,19,50,25.58
Lakamane,2011,Combretum glutinosum,2,4,43,22.46
Lakamane,2011,Combretum glutinosum,2,5,13,7.45
Lakamane,2011,Combretum glutinosum,2,6,15,8.68
Lakamane,2011,Combretum glutinosum,2,7,27,12.51
Lakamane,2011,Combretum glutinosum,2,9,12,6.78
Lakamane,2011,Combretum glutinosum,2,12,34,17.69
Lakamane,2011,Combretum glutinosum,2,14,9,5.55
Lakamane,2011,Combretum glutinosum,2,18,4,3.43
Lakamane,2011,Combretum glutinosum,2,19,20,10.02
Lakamane,2011,Combretum glutinosum,2,20,12,7.12
Lakamane,2011,Combretum glutinosum,3,2,28,14.44
