site,species_name,year,treatment_code,tree_id,stem_id,diameter_cm
Tiendega,Detarium microcarpum,2010,4,3,1,10.1
Tiendega,Detarium microcarpum,2010,4,4,1,12.8
Tiendega,Detarium microcarpum,2010,4,5,1,9.9
Tiendega,Detarium microcarpum,2010,4,6,1,10.6
Tiendega,Detarium microcarpum,2010,4,7,1,5.9
Tiendega,Detarium microcarpum,2010,4,7,2,3.5
Tiendega,Detarium microcarpum,2010,4,8,1,11.9
Tiendega,Detarium microcarpum,2010,4,9,1,10.1
Tiendega,Detarium microcarpum,2010,4,10,1,11.3
Tiendega,Detarium microcarpum,2010,4,11,1,14.3
Tiendega,Detarium microcarpum,2010,4,12,1,5.9
Tiendega,Detarium microcarpum,2010,4,13,1,9.6
Tiendega,Detarium microcarpum,2010,4,14,1,7.9
Tiendega,Detarium microcarpum,2010,4,15,1,15.3
Tiendega,Detarium microcarpum,2010,4,16,1,11.9
Tiendega,Detarium microcarpum,2010,4,17,1,7.2
Tiendega,Detarium microcarpum,2010,4,18,1,11.9
Tiendega,Detarium microcarpum,2010,4,19,1,10.2
Tiendega,Detarium microcarpum,2010,4,20,1,9
Tiendega,Detarium microcarpum,2010,5,1,1,3.5
Tiendega,Detarium microcarpum,2010,5,2,1,13.7
Tiendega,Detarium microcarpum,2010,5,3,1,8.8
Tiendega,Detarium microcarpum,2010,5,4,1,11.8
Tiendega,Detarium microcarpum,2010,5,5,1,10.8
Tiendega,Detarium microcarpum,2010,5,6,1,15.2
Tiendega,Detarium microcarpum,2010,5,7,1,17.4
Tiendega,Detarium microcarpum,2010,5,8,1,4.7
Tiendega,Detarium microcarpum,2010,5,9,1,4.3
Tiendega,Detarium microcarpum,2010,5,10,1,11.6
Tiendega,Detarium microcarpum,2010,5,11,1,11.3
Tiendega,Detarium microcarpum,2010,5,12,1,10.1
Tiendega,Detarium microcarpum,2010,5,13,1,7.4
Tiendega,Detarium microcarpum,2010,5,14,1,12.9
Tiendega,Detarium microcarpum,2010,5,15,1,6.9
Tiendega,Detarium microcarpum,2010,5,16,1,12.7
Tiendega,Detarium microcarpum,2010,5,17,1,6.2
Tiendega,Detarium microcarpum,2010,5,18,1,5.9
Tiendega,Detarium microcarpum,2010,5,19,1,9.8
Tiendega,Detarium microcarpum,2010,5,20,1,4.9
Lakamane,Combretum glutinosum,2010,1,1,1,9.4
Lakamane,Combretum glutinosum,2010,1,1,2,5.9
Lakamane,Combretum glutinosum,2010,1,2,1,10.4
Lakamane,Combretum glutinosum,2010,1,2,2,9.6
Lakamane,Combretum glutinosum,2010,1,2,3,8.4
Lakamane,Combretum glutinosum,2010,1,2,4,4.3
Lakamane,Combretum glutinosum,2010,1,3,1,8.21
Lakamane,Combretum glutinosum,2010,1,4,1,5.5
Lakamane,Combretum glutinosum,2010,1,4,2,4.9
Lakamane,Combretum glutinosum,2010,1,5,1,7.6
Lakamane,Combretum glutinosum,2010,1,5,2,5.1
Lakamane,Combretum glutinosum,2010,1,6,1,10.6
Lakamane,Combretum glutinosum,2010,1,6,2,8.1
Lakamane,Combretum glutinosum,2010,1,6,3,8.9
Lakamane,Combretum glutinosum,2010,1,7,1,10.5
Lakamane,Combretum glutinosum,2010,1,8,1,4.4
Lakamane,Combretum glutinosum,2010,1,8,2,4.2
Lakamane,Combretum glutinosum,2010,1,9,1,12.9
Lakamane,Combretum glutinosum,2010,1,9,2,8.9
Lakamane,Combretum glutinosum,2010,1,9,3,9.6
Lakamane,Combretum glutinosum,2010,1,10,1,9.8
Lakamane,Combretum glutinosum,2010,1,11,1,7.9
Lakamane,Combretum glutinosum,2010,1,11,2,9.5
Lakamane,Combretum glutinosum,2010,1,12,1,6.5
Lakamane,Combretum glutinosum,2010,1,13,1,11.7
Lakamane,Combretum glutinosum,2010,1,13,2,13.7
Lakamane,Combretum glutinosum,2010,1,13,3,8.9
Lakamane,Combretum glutinosum,2010,1,14,1,11.9
Lakamane,Combretum glutinosum,2010,1,14,2,7.1
Lakamane,Combretum glutinosum,2010,1,15,1,7.4
Lakamane,Combretum glutinosum,2010,1,15,2,6.4
Lakamane,Combretum glutinosum,2010,1,15,3,5.3
Lakamane,Combretum glutinosum,2010,1,15,4,5.4
Lakamane,Combretum glutinosum,2010,1,15,5,4.8
