"site","species_name","year","treatment_code","tree_id","stem_id","diameter_cm","initial_biomass_g"
"Tiendega","Detarium microcarpum",2010,4,6,1,10.6,15711
"Tiendega","Detarium microcarpum",2010,4,7,1,5.9,2732
"Tiendega","Detarium microcarpum",2010,4,8,1,11.9,22193
"Tiendega","Detarium microcarpum",2010,4,9,1,10.1,13601
"Tiendega","Detarium microcarpum",2010,4,10,1,11.3,19017
"Tiendega","Detarium microcarpum",2010,4,11,1,14.3,38409
"Tiendega","Detarium microcarpum",2010,4,12,1,5.9,2732
"Tiendega","Detarium microcarpum",2010,4,13,1,9.6,11688
"Tiendega","Detarium microcarpum",2010,4,14,1,7.9,6531
"Tiendega","Detarium microcarpum",2010,4,15,1,15.3,46998
"Tiendega","Detarium microcarpum",2010,4,16,1,11.9,22193
"Tiendega","Detarium microcarpum",2010,4,17,1,7.2,4951
"Tiendega","Detarium microcarpum",2010,4,18,1,11.9,22193
"Tiendega","Detarium microcarpum",2010,4,19,1,10.2,14007
"Tiendega","Detarium microcarpum",2010,4,20,1,9,9639
"Tiendega","Detarium microcarpum",2010,5,1,1,3.5,575
"Tiendega","Detarium microcarpum",2010,5,2,1,13.7,33795
"Tiendega","Detarium microcarpum",2010,5,3,1,8.8,9014
"Tiendega","Detarium microcarpum",2010,5,4,1,11.8,21641
"Tiendega","Detarium microcarpum",2010,5,5,1,10.8,16613
"Tiendega","Detarium microcarpum",2010,5,6,1,15.2,46087
"Tiendega","Detarium microcarpum",2010,5,7,1,17.4,69000
"Tiendega","Detarium microcarpum",2010,5,8,1,4.7,1386
"Tiendega","Detarium microcarpum",2010,5,9,1,4.3,1063
"Tiendega","Detarium microcarpum",2010,5,10,1,11.6,20564
"Tiendega","Detarium microcarpum",2010,5,11,1,11.3,19017
"Tiendega","Detarium microcarpum",2010,5,12,1,10.1,13601
"Tiendega","Detarium microcarpum",2010,5,13,1,7.4,5373
"Tiendega","Detarium microcarpum",2010,5,14,1,12.9,28238
"Tiendega","Detarium microcarpum",2010,5,15,1,6.9,4360
"Tiendega","Detarium microcarpum",2010,5,16,1,12.7,26951
"Tiendega","Detarium microcarpum",2010,5,17,1,6.2,3168
"Tiendega","Detarium microcarpum",2010,5,18,1,5.9,2732
