Site,Treatment,ID,Species,Height_m,InitBiomass_g
Tiendega,1,3,Detarium microcarpum,2.4,22865.02265
Tiendega,1,5,Detarium microcarpum,1.6,8641.518062
Tiendega,1,7,Detarium microcarpum,1.4,981.4696443
Tiendega,1,8,Detarium microcarpum,3,13063.36404
Tiendega,1,10,Detarium microcarpum,3.5,51435.65579
Tiendega,1,12,Detarium microcarpum,1.6,18716.98169
Tiendega,1,13,Detarium microcarpum,3.5,15084.8552
Tiendega,1,15,Detarium microcarpum,3,30119.27744
Tiendega,1,16,Detarium microcarpum,2.3,18235.36628
Tiendega,1,20,Detarium microcarpum,2,26332.5095
Tiendega,2,1,Detarium microcarpum,1.4,6474.531926
Tiendega,2,5,Detarium microcarpum,,1489.614723
Tiendega,2,7,Detarium microcarpum,2,13849.66861
Tiendega,2,9,Detarium microcarpum,3,27558.68342
Tiendega,2,11,Detarium microcarpum,3,13849.66861
Tiendega,2,12,Detarium microcarpum,2.1,7240.475826
Tiendega,2,15,Detarium microcarpum,1.5,3932.600747
Tiendega,2,16,Detarium microcarpum,1.4,4301.076551
Tiendega,2,18,Detarium microcarpum,1.75,1906.860947
Tiendega,2,20,Detarium microcarpum,1.5,11224.1307
Tiendega,3,2,Detarium microcarpum,2.5,15946.16279
Tiendega,3,5,Detarium microcarpum,2.7,15084.8552
Tiendega,3,6,Detarium microcarpum,,10204.92839
Tiendega,3,9,Detarium microcarpum,2.2,10204.92839
Tiendega,3,10,Detarium microcarpum,1.4,3257.656781
Tiendega,3,11,Detarium microcarpum,2.1,4301.076551
Tiendega,3,13,Detarium microcarpum,1.1,1690.006966
Tiendega,3,16,Detarium microcarpum,1.25,1056.893197
Tiendega,3,17,Detarium microcarpum,2.2,1906.860947
Tiendega,3,19,Detarium microcarpum,1.5,1796.340785
Tiendega,4,1,Detarium microcarpum,1.6,1796.340785
Tiendega,4,2,Detarium microcarpum,2.7,25732.75481
Tiendega,4,4,Detarium microcarpum,2.7,30782.30688
Tiendega,4,6,Detarium microcarpum,1.4,18235.36628
Tiendega,4,7,Detarium microcarpum,3,4426.125892
Tiendega,4,11,Detarium microcarpum,2.8,41870.81322
Tiendega,4,15,Detarium microcarpum,3.2,50513.73145
Tiendega,4,17,Detarium microcarpum,1.4,6231.284786
Tiendega,4,18,Detarium microcarpum,2,25141.81238
Tiendega,4,19,Detarium microcarpum,1.2,16388.34988
Lakamane,1,4,Combretum glutinosum,1,5090.8613
Lakamane,1,5,Combretum glutinosum,2.7,9632.685388
Lakamane,1,7,Combretum glutinosum,1.25,17761.75413
Lakamane,1,8,Combretum glutinosum,0.95,2983.202261
Lakamane,1,9,Combretum glutinosum,,56528.40065
Lakamane,1,11,Combretum glutinosum,1.65,21514.8943
Lakamane,1,13,Combretum glutinosum,3,72383.48014
Lakamane,1,17,Combretum glutinosum,1.6,16388.34988
Lakamane,1,18,Combretum glutinosum,2.5,49325.93634
Lakamane,1,20,Combretum glutinosum,2.8,31454.60133
Lakamane,2,1,Combretum glutinosum,1.6,3932.600747
Lakamane,2,2,Combretum glutinosum,1.25,41969.11235
Lakamane,2,3,Combretum glutinosum,1.5,9095.414823
Lakamane,2,8,Combretum glutinosum,1.2,3418.8084
Lakamane,2,10,Combretum glutinosum,2.5,87766.52263
Lakamane,2,11,Combretum glutinosum,2,981.4696443
Lakamane,2,13,Combretum glutinosum,1.7,6231.284786
Lakamane,2,15,Combretum glutinosum,1.2,3418.8084
Lakamane,2,16,Combretum glutinosum,1.4,11938.43564
Lakamane,2,17,Combretum glutinosum,1.1,9287.616165
Lakamane,3,1,Combretum glutinosum,1.75,7929.062062
Lakamane,3,3,Combretum glutinosum,1.5,9878.884407
Lakamane,3,9,Combretum glutinosum,3,11938.43564
Lakamane,3,10,Combretum glutinosum,1.4,9246.962883
Lakamane,3,14,Combretum glutinosum,1.8,16061.02954
Lakamane,3,15,Combretum glutinosum,1.1,17767.39094
Lakamane,3,16,Combretum glutinosum,2.1,24559.62518
Lakamane,3,19,Combretum glutinosum,0.6,23454.23215
Lakamane,3,20,Combretum glutinosum,0.9,1305.113364
Lakamane,4,1,Combretum glutinosum,1.6,13063.36404
Lakamane,4,3,Combretum glutinosum,2.1,16195.72034
Lakamane,4,5,Combretum glutinosum,1.9,19814.29109
Lakamane,4,6,Combretum glutinosum,3.2,37931.40762
Lakamane,4,9,Combretum glutinosum,2.4,113284.6753
Lakamane,4,11,Combretum glutinosum,1.65,8574.587529
Lakamane,4,14,Combretum glutinosum,1.25,12616.00932
Lakamane,4,15,Combretum glutinosum,1.5,23933.08972
