Site,Tree_ID,Stem_ID,Species,Treatment,Initial_Circumference_cm,Y1_Circumference_change_cm,Y3_Circumference_change_cm,Final_state
Tiendega,C19,1,Detarium microcarpum,C,36.8,0.1,,dead
Tiendega,C16,1,Detarium microcarpum,C,55.8,0.3,0.4,alive
Tiendega,C15,1,Detarium microcarpum,C,24.8,0.5,1,alive
Tiendega,C5,1,Detarium microcarpum,C,36.6,0.4,1,alive
Tiendega,C9,1,Detarium microcarpum,C,12.6,0.7,1.9,alive
Tiendega,C13,1,Detarium microcarpum,C,28.5,1.9,3.3,alive
Tiendega,C6,1,Detarium microcarpum,C,55.6,1.2,2.6,alive
Tiendega,C3,1,Detarium microcarpum,C,32.1,1.4,5.5,alive
Tiendega,C7,1,Detarium microcarpum,C,68.7,2.4,5.9,alive
Tiendega,C11,1,Detarium microcarpum,C,43.1,2.5,8,alive
Tiendega,C10,1,Detarium microcarpum,C,45.8,4.9,11.2,alive
Tiendega,C20,1,Detarium microcarpum,C,17.1,3.9,6.5,alive
Tiendega,C17,1,Detarium microcarpum,C,23.4,2,7.3,alive
Tiendega,C18,1,Detarium microcarpum,C,19.4,0.4,1.1,alive
Tiendega,C2,1,Detarium microcarpum,C,49.9,1.1,4.8,alive
Tiendega,C4,1,Detarium microcarpum,C,33.7,2.1,5.8,alive
Tiendega,C12,1,Detarium microcarpum,C,31,1.9,4.4,alive
Tiendega,C1,1,Detarium microcarpum,C,11.5,1.8,5,alive
Tiendega,C8,1,Detarium microcarpum,C,14.7,1.9,4.7,alive
Tiendega,C14,1,Detarium microcarpum,C,54.8,2.9,5.3,alive
Lakamane,C15,1,Combretum glutinosum,C,26.1,0.7,1.1,alive
Lakamane,C17_1,1,Combretum glutinosum,C,35.8,0,,dead
Lakamane,C17_2,2,Combretum glutinosum,C,19.1,0.8,1.1,alive
Lakamane,C17_3,3,Combretum glutinosum,C,21.2,1.4,3.7,alive
Lakamane,C18,1,Combretum glutinosum,C,37.5,2,4.1,alive
Lakamane,C9_1,1,Combretum glutinosum,C,36.4,1.1,1.5,alive
Lakamane,C9_2,2,Combretum glutinosum,C,11.6,,,dead
Lakamane,C20_1,1,Combretum glutinosum,C,32.5,1.2,1.2,alive
Lakamane,C20_2,2,Combretum glutinosum,C,25.6,1.3,1.4,alive
Lakamane,C16_1,1,Combretum glutinosum,C,29.9,1.6,4.3,alive
Lakamane,C16_2,2,Combretum glutinosum,C,23.8,1.21,3.3,alive
Lakamane,C16_3,3,Combretum glutinosum,C,11.9,,,dead
Lakamane,C19,1,Combretum glutinosum,C,25.2,1.8,2,alive
Lakamane,C2_1,1,Combretum glutinosum,C,34.1,2.4,2.7,dead
Lakamane,C2_2,2,Combretum glutinosum,C,22.7,1.6,2.7,dead
Lakamane,C10,1,Combretum glutinosum,C,23.4,0.8,,dead
Lakamane,C6_1,1,Combretum glutinosum,C,29.2,1.6,2.5,alive
Lakamane,C6_2,2,Combretum glutinosum,C,26.6,1.4,2.7,alve
Lakamane,C6_3,3,Combretum glutinosum,C,11.7,,,dead
Lakamane,C13_1,1,Combretum glutinosum,C,28.1,1,0.9,alive
Lakamane,C13_2,2,Combretum glutinosum,C,20.8,0.3,0.5,alive
Lakamane,C3_1,1,Combretum glutinosum,C,35.2,1.7,1.9,alive
Lakamane,C3_2,2,Combretum glutinosum,C,32.8,1.2,1,alive
Lakamane,C3_3,3,Combretum glutinosum,C,26.1,1.3,1.1,alive
Lakamane,C12_1,1,Combretum glutinosum,C,35.4,1.4,2.98,alive
Lakamane,C12_2,2,Combretum glutinosum,C,23.5,1,2.8,alive
Lakamane,C12_3,3,Combretum glutinosum,C,32.5,1.4,2.7,alive
Lakamane,C12_4,4,Combretum glutinosum,C,38.1,0.7,1,alive
Lakamane,C1,1,Combretum glutinosum,C,24.9,1.7,3.8,alive
Lakamane,C14_1,1,Combretum glutinosum,C,33.7,1,2.1,alive
Lakamane,C14_2,2,Combretum glutinosum,C,27.1,1,1.6,alive
Lakamane,C14_3,3,Combretum glutinosum,C,21.9,0.9,1,alive
Lakamane,C8_1,1,Combretum glutinosum,C,32.6,1.1,3.5,alive
Lakamane,C8_2,2,Combretum glutinosum,C,30.8,1.1,3.2,alive
Lakamane,C8_3,3,Combretum glutinosum,C,22.8,1.3,3.6,alive
Lakamane,C5_1,1,Combretum glutinosum,C,28,0.8,2.2,alive
Lakamane,C5_2,2,Combretum glutinosum,C,25.8,1.5,3.2,alive
Lakamane,C4_1,1,Combretum glutinosum,C,24.9,0.9,2.8,alive
Lakamane,C4_2,2,Combretum glutinosum,C,21.7,1.3,3.7,alive
Lakamane,C7,1,Combretum glutinosum,C,26.7,2.1,5.3,alive
Lakamane,C11,1,Combretum glutinosum,C,30.9,1.2,1.4,alive
