Site,Treatment,ID,Species,Year Harvested,TOTAL BIOMASS (kg),Initial Biomass (g),Initial Biomass (kg)
Tiorola,1,3,Pteleopsis suberosa,2011,0.0178431074,2021.637926,2.021637926
Tiorola,1,5,Pteleopsis suberosa,2011,0.0563679983,3418.8084,3.4188084
Tiorola,1,6,Combretum geitynophylum,2011,,18716.98169,18.71698169
Tiorola,1,7,Combretum geitynophylum,2011,0.3334194451,50513.73145,50.51373145
Tiorola,1,8,Combretum geitynophylum,2011,0.0756605664,15084.8552,15.0848552
Tiorola,1,10,Pteleopsis suberosa,2011,0.0137878557,2140.741865,2.140741865
Tiorola,1,12,Pteleopsis suberosa,2011,0.0336585889,45203.75698,45.20375698
Tiorola,1,13,Pteleopsis suberosa,2011,0.0016221007,19206.65891,19.20665891
Tiorola,1,14,Combretum geitynophylum,2011,0.3932639609,6723.770436,6.723770436
Tiorola,1,15,Combretum geitynophylum,2011,2.0475373614,65167.27176,65.16727176
Tiorola,2,2,Combretum geitynophylum,2011,0.4189116105,96258.44492,96.25844492
Tiorola,2,4,Combretum geitynophylum,2011,0.2735749293,19704.45635,19.70445635
Tiorola,2,5,Combretum geitynophylum,2011,0.3932639609,29465.45675,29.46545675
Tiorola,2,6,Combretum geitynophylum,2011,0.2180050218,86776.61541,86.77661541
Tiorola,2,9,Combretum geitynophylum,2011,0.0769429489,10204.92839,10.20492839
Tiorola,2,10,Pteleopsis suberosa,2011,0.002433151,2140.741865,2.140741865
Tiorola,2,13,Pteleopsis suberosa,2011,0.0133823305,1587.78867,1.58778867
Tiorola,2,15,Pteleopsis suberosa,2011,0.0036497265,1395.413591,1.395413591
Tiorola,2,8,Combretum geitynophylum,2011,0.5129529924,,
Tiorola,3,4,Pteleopsis suberosa,2011,0.0198707332,2140.741865,2.140741865
Tiorola,3,5,Combretum geitynophylum,2011,0.5727975082,16838.30479,16.83830479
Tiorola,3,6,Pteleopsis suberosa,2011,,1305.113364,1.305113364
Tiorola,3,7,Pteleopsis suberosa,2011,0.0360917399,1587.78867,1.58778867
Tiorola,3,8,Pteleopsis suberosa,2011,0.0932707885,4493.297336,4.493297336
Tiorola,3,10,Combretum geitynophylum,2011,0.0645465849,6084.148946,6.084148946
Tiorola,3,11,Pteleopsis suberosa,2011,,51435.65579,51.43565579
Tiorola,3,12,Combretum geitynophylum,2011,0.8762946954,118490.5883,118.4905883
Tiorola,3,14,Pteleopsis suberosa,2011,,3932.600747,3.932600747
Tiorola,3,17,Combretum geitynophylum,2011,1.0088075518,21263.09354,21.26309354
Tiorola,4,4,Pteleopsis suberosa,2011,0,68788.45499,68.78845499
Tiorola,4,8,Pteleopsis suberosa,2011,0.0673171778,6474.531926,6.474531926
Tiorola,4,10,Pteleopsis suberosa,2011,,26249.88431,26.24988431
Tiorola,4,11,Pteleopsis suberosa,2011,0.0052718272,1587.78867,1.58778867
