Site,Treatment,ID,Species,Height (m),Wood Wet Weight (kg),Wood Dry Weight (kg),Leaf Wet Weight (kg),Leaf Dry Wet (kg),Leaf Dry:Wet,Wood Dry:Wet,Notes,TOTAL BIOMASS 2013 (kg)
Tiorola,4,7,Pteleopsis suberosa,,,,,,,,,
Tiorola,4,9,Pteleopsis suberosa,,,,,,,,,
Tiorola,4,15,Combretum geitynophylum,2.5,2.1,,,,,,,
Tiorola,4,18,Combretum geitynophylum,2.7,1.1,,,,,,,
Tiorola,4,19,Combretum geitynophylum,2.5,4,,,,,,,
Tiendega,1,3,Detarium microcarpum,2.4,2,,,,,,,
Tiendega,1,5,Detarium microcarpum,1.6,0.179,,,,,,,
Tiendega,1,7,Detarium microcarpum,1.4,0.239,,,,,,,
Tiendega,1,8,Detarium microcarpum,3,7,,,,,,,
Tiendega,1,10,Detarium microcarpum,3.5,4.6,,,,,,,
Tiendega,1,12,Detarium microcarpum,1.6,0.5,,,,,,,
Tiendega,1,13,Detarium microcarpum,3.5,4,,,,,,,
Tiendega,1,15,Detarium microcarpum,3,5,,,,,,,
Tiendega,1,16,Detarium microcarpum,2.3,2,,,,,,,
Tiendega,1,20,Detarium microcarpum,2,1.4,,,,,,,
Tiendega,2,1,Detarium microcarpum,1.4,0.5,,,,,,,
Tiendega,2,5,Detarium microcarpum,,,,,,,,,
Tiendega,2,7,Detarium microcarpum,2,1.45,,,,,,,
Tiendega,2,9,Detarium microcarpum,3,2.5,,,,,,,
Tiendega,2,11,Detarium microcarpum,3,3.9,,,,,,,
Tiendega,2,12,Detarium microcarpum,2.1,1.5,,,,,,,
Tiendega,2,15,Detarium microcarpum,1.5,0.5,,,,,,,
Tiendega,2,16,Detarium microcarpum,1.4,1,,,,,,,
Tiendega,2,18,Detarium microcarpum,1.75,1.34,,,,,,,
Tiendega,2,20,Detarium microcarpum,1.5,0.628,,,,,,,
Tiendega,3,2,Detarium microcarpum,2.5,3.1,,,,,,,
Tiendega,3,5,Detarium microcarpum,2.7,2.6,,,,,,,
Tiendega,3,6,Detarium microcarpum,,,,,,,,,
Tiendega,3,9,Detarium microcarpum,2.2,1,,,,,,,
Tiendega,3,10,Detarium microcarpum,1.4,0.5,,,,,,,
Tiendega,3,11,Detarium microcarpum,2.1,2.5,,,,,,,
Tiendega,3,13,Detarium microcarpum,1.1,0.074,,,,,,,
Tiendega,3,16,Detarium microcarpum,1.25,0.141,,,,,,,
Tiendega,3,17,Detarium microcarpum,2.2,1.6,,,,,,,
Tiendega,3,19,Detarium microcarpum,1.5,0.198,,,,,,,
Tiendega,4,1,Detarium microcarpum,1.6,0.276,,,,,,,
Tiendega,4,2,Detarium microcarpum,2.7,4.7,,,,,,,
Tiendega,4,4,Detarium microcarpum,2.7,2.887,,,,,,,
Tiendega,4,6,Detarium microcarpum,1.4,1.146,,,,,,,
Tiendega,4,7,Detarium microcarpum,3,3.88,,,,,,,
Tiendega,4,11,Detarium microcarpum,2.8,3.6,,,,,,,
Tiendega,4,15,Detarium microcarpum,3.2,13,,,,,,,
Tiendega,4,17,Detarium microcarpum,1.4,0.181,,,,,,,
Tiendega,4,18,Detarium microcarpum,2,2.6,,,,,,,
Tiendega,4,19,Detarium microcarpum,1.2,0.301,,,,,,,
Lakamane,1,4,Combretum glutinosum,1,1,,,,,,,
Lakamane,1,5,Combretum glutinosum,2.7,3.25,,,,,,,
Lakamane,1,7,Combretum glutinosum,1.25,0.87,,,,,,,
Lakamane,1,8,Combretum glutinosum,0.95,0.5,,,,,,,
Lakamane,1,9,Combretum glutinosum,,,,,,,,dead,
Lakamane,1,11,Combretum glutinosum,1.65,1.5,,,,,,,
Lakamane,1,13,Combretum glutinosum,3,18.95,,,,,,,
Lakamane,1,17,Combretum glutinosum,1.6,2,,,,,,,
Lakamane,1,18,Combretum glutinosum,2.5,21.75,,,,,,,
Lakamane,1,20,Combretum glutinosum,2.8,16.95,,,,,,,
Lakamane,2,1,Combretum glutinosum,1.6,3.1,,,,,,,
Lakamane,2,2,Combretum glutinosum,1.25,1,,,,,,,
Lakamane,2,3,Combretum glutinosum,1.5,3.25,,,,,,,
Lakamane,2,8,Combretum glutinosum,1.2,0.75,,,,,,,
Lakamane,2,10,Combretum glutinosum,2.5,9.75,,,,,,,
Lakamane,2,11,Combretum glutinosum,2,1.85,,,,,,,
Lakamane,2,13,Combretum glutinosum,1.7,1.95,,,,,,,
Lakamane,2,15,Combretum glutinosum,1.2,2,,,,,,,
Lakamane,2,16,Combretum glutinosum,1.4,0.5,,,,,,,
Lakamane,2,17,Combretum glutinosum,1.1,1,,,,,,,
Lakamane,3,1,Combretum glutinosum,1.75,2.25,,,,,,,
Lakamane,3,3,Combretum glutinosum,1.5,1.5,,,,,,,
Lakamane,3,9,Combretum glutinosum,3,4,,,,,,,
Lakamane,3,10,Combretum glutinosum,1.4,1.95,,,,,,,
Lakamane,3,14,Combretum glutinosum,1.8,2.95,,,,,,,
Lakamane,3,15,Combretum glutinosum,1.1,4,,,,,,,
Lakamane,3,16,Combretum glutinosum,2.1,2.75,,,,,,,
Lakamane,3,19,Combretum glutinosum,0.6,0.75,,,,,,,
Lakamane,3,20,Combretum glutinosum,0.9,0.5,,,,,,,
Lakamane,4,1,Combretum glutinosum,1.6,1.1,,,,,,,
Lakamane,4,3,Combretum glutinosum,2.1,4.25,,,,,,,
Lakamane,4,5,Combretum glutinosum,1.9,4.95,,,,,,,
Lakamane,4,6,Combretum glutinosum,3.2,17.1,,,,,,,
Lakamane,4,9,Combretum glutinosum,2.4,12.25,,,,,,,
Lakamane,4,11,Combretum glutinosum,1.65,1.65,,,,,,,
Lakamane,4,14,Combretum glutinosum,1.25,1.95,,,,,,,
Lakamane,4,15,Combretum glutinosum,1.5,1.25,,,,,,,
