Site,Treatment,ID,Species,Height (m),Wood Wet Weight (kg),Wood Dry Weight (kg),Leaf Wet Weight (kg),Leaf Dry Wet (kg),Leaf Dry:Wet,Wood Dry:Wet,Notes,TOTAL BIOMASS 2013 (kg)
Tiorola,1,1,Pteleopsis suberosa,0.5,0.93,,,,,,,
Tiorola,1,2,Pteleopsis suberosa,,,,,,,,dead,
Tiorola,1,4,Pteleopsis suberosa,,,,,,,,dead,
Tiorola,1,9,Pteleopsis suberosa,,,,,,,,,
Tiorola,1,11,Pteleopsis suberosa,1.5,0.6,,,,,,,
Tiorola,1,16,Combretum geitynophylum,,,,,,,,,
Tiorola,1,17,Combretum geitynophylum,,,,,,,,,
Tiorola,1,18,Combretum geitynophylum,,,,,,,,,
Tiorola,1,19,Combretum geitynophylum,,,,,,,,,
Tiorola,1,20,Combretum geitynophylum,,,,,,,,,
Tiorola,2,1,Combretum geitynophylum,2,2.1,,,,,,,
Tiorola,2,3,Combretum geitynophylum,2,1,,,,,,,
Tiorola,2,7,Pteleopsis suberosa,,,,,,,,,
Tiorola,2,8,Pteleopsis suberosa,1.6,1.1,,,,,,,
Tiorola,2,11,Pteleopsis suberosa,,,,,,,,,
Tiorola,2,12,Pteleopsis suberosa,0.7,0.04,,,,,,,
Tiorola,2,14,Pteleopsis suberosa,,,,,,,,,
Tiorola,3,1,Combretum geitynophylum,,,,,,,,,
Tiorola,3,2,Combretum geitynophylum,1.25,0.088,,,,,,,
Tiorola,3,3,Combretum geitynophylum,1.5,1,,,,,,,
Tiorola,3,9,Combretum geitynophylum,4.2,18,,,,,,,
Tiorola,3,13,Pteleopsis suberosa,0.5,0.069,,,,,,,
Tiorola,3,15,Pteleopsis suberosa,0.6,0.06,,,,,,,
Tiorola,3,16,Pteleopsis suberosa,,,,,,,,,
Tiorola,3,18,Pteleopsis suberosa,,,,,,,,,
Tiorola,4,1,Pteleopsis suberosa,0.6,0.098,,,,,,,
Tiorola,4,2,Pteleopsis suberosa,1.75,0.5,,,,,,,
Tiorola,4,3,Combretum geitynophylum,1.8,2,,,,,,,
Tiorola,4,5,Combretum geitynophylum,2,1,,,,,,,
Tiorola,4,6,Pteleopsis suberosa,,,,,,,,,
