Site,Tree_ID,Species,Treatment,Circumference,Diameter (year 1),Y1_Growth (circ.),Y1_Growth (diam.),D2_Y2 (cm),Circ Y2,D2_calc_Y2,Y3_TotGrowth (circ.),Y1-Y3_Growth,Y1-Y3_growth_diam,D3_Y3,FinalState
Tiendega,C14,Detarium microcarpum,C,54.8,12.9,2.9,0.92309945,13.82309945,57.7,18.36649595,5.3,2.4,0.763944372,14.58704382,alive
Lakamane,C15,Combretum glutinosum,C,26.1,8.9,0.7,0.222817109,9.122817109,26.8,8.530712155,1.1,0.4,0.127324062,9.250141171,alive
Lakamane,C17_1,Combretum glutinosum,C,35.8,10.2,0,0,10.2,35.8,11.39550355,,,,,dead
Lakamane,C17_2,Combretum glutinosum,C,19.1,5.3,0.8,0.254648124,5.554648124,19.9,6.334372085,1.1,0.3,0.095493047,5.650141171,alive
Lakamane,C17_3,Combretum glutinosum,C,21.2,5.6,1.4,0.445634217,6.045634217,22.6,7.193809504,3.7,2.3,0.732113357,6.777747574,alive
Lakamane,C18,Combretum glutinosum,C,37.5,9.8,2,0.63662031,10.43662031,39.5,12.57325112,4.1,2.1,0.668451326,11.10507164,alive
Lakamane,C9_1,Combretum glutinosum,C,36.4,9.9,1.1,0.350141171,10.25014117,37.5,11.93663081,1.5,0.4,0.127324062,10.37746523,alive
Lakamane,C9_2,Combretum glutinosum,C,11.6,3.7,,,,,,,,,,dead
Lakamane,C20_1,Combretum glutinosum,C,32.5,9.3,1.2,0.381972186,9.681972186,33.7,10.72705223,1.2,0,0,9.681972186,alive
Lakamane,C20_2,Combretum glutinosum,C,25.6,6.9,1.3,0.413803202,7.313803202,26.9,8.562543171,1.4,0.1,0.031831016,7.345634217,alive
Lakamane,C16_1,Combretum glutinosum,C,29.9,8.6,1.6,0.509296248,9.109296248,31.5,10.02676988,4.3,2.7,0.859437419,9.968733667,alive
Lakamane,C16_2,Combretum glutinosum,C,23.8,6.8,1.21,0.385155288,7.185155288,25.01,7.960936978,3.3,2.09,0.665268224,7.850423512,alive
Lakamane,C16_3,Combretum glutinosum,C,11.9,3.6,,,,,,,,,,dead
Lakamane,C19,Combretum glutinosum,C,25.2,7.1,1.8,0.572958279,7.672958279,27,8.594374186,2,0.2,0.063662031,7.73662031,alive
Lakamane,C2_1,Combretum glutinosum,C,34.1,10.7,2.4,0.763944372,11.46394437,36.5,11.61832066,2.7,0.3,0.095493047,11.55943742,dead
Lakamane,C2_2,Combretum glutinosum,C,22.7,6.5,1.6,0.509296248,7.009296248,24.3,7.734936768,2.7,1.1,0.350141171,7.359437419,dead
Lakamane,C10,Combretum glutinosum,C,23.4,6.7,0.8,0.254648124,6.954648124,24.2,7.703105752,,,,,dead
Lakamane,C6_1,Combretum glutinosum,C,29.2,8.2,1.6,0.509296248,8.709296248,30.8,9.803952776,2.5,0.9,0.28647914,8.995775388,alive
Lakamane,C6_2,Combretum glutinosum,C,26.6,7.1,1.4,0.445634217,7.545634217,28,8.912684341,2.7,1.3,0.413803202,7.959437419,alve
Lakamane,C6_3,Combretum glutinosum,C,11.7,3.7,,,,,,,,,,dead
Lakamane,C13_1,Combretum glutinosum,C,28.1,8.5,1,0.318310155,8.818310155,29.1,9.262825512,0.9,-0.1,-0.031831016,8.78647914,alive
